Nombre	Descripción	Estado  	Tipo de inicio	Iniciar sesión como
AarSvc_6bbe9	Runtime for activating conversational agent applications		Manual	Sistema local
ABB Industrial Robot Communication Server			Manual	Sistema local
ABB Industrial Robot Discovery Server			Manual	Sistema local
Actualizador de zona horaria automática	Establece la zona horaria del sistema automáticamente.		Deshabilitado	Servicio local
Adaptador de rendimiento de WMI	Proporciona información sobre la biblioteca de rendimiento de proveedores del servicio Instrumental de administración de Windows (WMI) a clientes de la red. Este servicio solo se ejecuta si el Ayudante de datos de rendimiento está activado.		Manual	Sistema local
Administración de aplicaciones	Procesa las solicitudes de instalación, eliminación y enumeración para el software implementado mediante la directiva de grupo. Si se deshabilita el servicio, no podrá instalar, quitar ni enumerar el software implementado mediante la directiva de grupo. Además, los servicios que dependan explícitamente de él no se iniciarán.		Manual	Sistema local
Administración de autenticación de Xbox Live	Proporciona servicios de autenticación y autorización para interactuar con Xbox Live. Si se detiene este servicio puede que algunas aplicaciones no funcionen correctamente.		Manual	Sistema local
Administración de capas de almacenamiento	Optimiza la colocación de los datos en capas de almacenamiento en todos los espacios de almacenamiento en capas del sistema.		Manual	Sistema local
Administración remota de Windows (WS-Management)	El servicio Administración remota de Windows (WinRM) implementa el protocolo WS-Management para la administración remota. WS-Management es un protocolo estándar de servicios web usado para la administración remota de software y hardware. El servicio WinRM escucha solicitudes de WS-Management y las procesa en la red. Para tal fin, debe configurarse con una escucha que use la herramienta de línea de comandos winrm.cmd o a través de la directiva de grupo. El servicio WinRM ofrece acceso a los datos WMI y, si está en ejecución, permite la recopilación y suscripción a eventos. Los mensajes WinRM usan HTTP y HTTPS como transporte. El servicio WinRM no depende de IIS pero está preconfigurado para compartir un puerto con IIS en el mismo equipo. El servicio WinRM reserva el prefijo de URL /wsman. Para evitar conflictos con IIS, los administradores deben asegurarse de que ningún sitio web hospedado en IIS use el prefijo de URL /wsman.		Manual	Servicio de red
Administrador de conexiones automáticas de acceso remoto	Crea una conexión a una red remota siempre que un programa hace referencia a un nombre o dirección DNS o NetBIOS remoto.		Manual	Sistema local
Administrador de conexiones de acceso remoto	Administra conexiones de acceso telefónico y de red privada virtual (VPN) desde este equipo a Internet u otras redes remotas. Si se deshabilita este servicio, no se iniciará ningún otro servicio que dependa de forma explícita de él.	En ejecución	Automático	Sistema local
Administrador de conexiones de Windows	Toma decisiones de conexión/desconexión automáticas en función de las opciones de conectividad de red disponibles actualmente para el equipo y permite administrar la conectividad de red basándose en la configuración de directivas de grupo.	En ejecución	Automático (desencadenar inicio)	Servicio local
Administrador de configuración de dispositivos	Habilita la detección, la descarga y la instalación del software relacionado con el dispositivo. Si se deshabilita este servicio, los dispositivos podrían configurarse con un software desfasado y podrían no funcionar correctamente.		Manual (desencadenar inicio)	Sistema local
Administrador de credenciales	Proporciona un almacenamiento seguro y la recuperación de credenciales para usuarios, aplicaciones y paquetes de servicios de seguridad.	En ejecución	Manual	Sistema local
Administrador de cuentas de seguridad	El inicio de este servicio indica a otros servicios que el Administrador de cuentas de seguridad (SAM) está listo para aceptar solicitudes. Si deshabilita este servicio, impedirá que se notifique a otros servicios del sistema cuándo está listo SAM, lo que a su vez puede provocar un error de inicio de dichos servicios. No debe deshabilitar este servicio.	En ejecución	Automático	Sistema local
Administrador de cuentas web	El Administrador de cuentas web usa este servicio para proporcionar el inicio de sesión único a aplicaciones y servicios.	En ejecución	Manual	Sistema local
Administrador de mapas descargados	Servicio de Windows para el acceso de las aplicaciones a los mapas descargados. Este servicio se inicia a petición de la aplicación que accede a los mapas descargados. Si se deshabilita este servicio, las aplicaciones no podrán tener acceso a los mapas.		Automático (inicio retrasado)	Servicio de red
Administrador de pagos y NFC/SE	Administra los pagos y la transmisión de datos en proximidad (NFC) basada en elementos seguros.		Manual (desencadenar inicio)	Servicio local
Administrador de sesión local	Servicio central de Windows que administra las sesiones de usuario locales. Si este servicio se detiene o deshabilita, provocará una inestabilidad en el sistema.	En ejecución	Automático	Sistema local
Administrador de usuarios	El administrador de usuarios proporciona los componentes de tiempo de ejecución necesarios para la interacción con múltiples usuarios. Si se detiene este servicio, es posible que algunas aplicaciones no funcionen correctamente.	En ejecución	Automático (desencadenar inicio)	Sistema local
Adquisición de imágenes de Windows (WIA)	Proporciona servicios de adquisición de imágenes para escáneres y cámaras.	En ejecución	Automático (desencadenar inicio)	Servicio local
Agente de conexión de red	Conexiones de agentes que permiten que las aplicaciones de la Tienda Windows reciban notificaciones de Internet.	En ejecución	Manual (desencadenar inicio)	Sistema local
Agente de detección en segundo plano de DevQuery	Permite a las aplicaciones detectar dispositivos con una tarea en segundo plano		Manual (desencadenar inicio)	Sistema local
Agente de directiva IPsec	El protocolo de seguridad de Internet (IPSec) admite la autenticación del mismo nivel de la red, la autenticación de orígenes de datos, la integridad de datos, la confidencialidad de datos (cifrado) y la protección de reproducción. Este servicio aplica las directivas IPSec creadas a través del complemento Directivas de seguridad IP o la herramienta de la línea de comandos "netsh ipsec". Si detienes este servicio, es posible que experimentes problemas de conectividad de red si la directiva requiere que las conexiones usen IPSec. Además, la administración remota del Firewall de Windows Defender no está disponible cuando se detiene este servicio.		Manual (desencadenar inicio)	Servicio de red
Agente de eventos de tiempo	Coordina la ejecución de trabajo en segundo plano para la aplicación WinRT. Si se deshabilita o se detiene este servicio, el trabajo en segundo plano podría no activarse.	En ejecución	Manual (desencadenar inicio)	Servicio local
Agente de eventos del sistema	Coordina la ejecución de trabajo en segundo plano para la aplicación WinRT. Si se deshabilita o se detiene este servicio, el trabajo en segundo plano podría no activarse.	En ejecución	Automático (desencadenar inicio)	Sistema local
Agente de supervisión en tiempo de ejecución de Protección del sistema	Supervisa y certifica la integridad de la plataforma Windows.	En ejecución	Automático (inicio retrasado, desencadenar inicio)	Sistema local
Agrupación de red del mismo nivel	Permite la comunicación de varios participantes mediante Agrupación de punto a punto. Si se deshabilita, es posible que algunas aplicaciones, como Grupo Hogar, no funcionen.		Manual	Servicio local
Aislamiento de claves CNG	El servicio Aislamiento de claves CNG se hospeda en el proceso LSA. Proporciona aislamiento de proceso de claves para las claves privadas y las operaciones criptográficas asociadas según lo requiere el Criterio común. El servicio almacena y usa claves de larga duración en un proceso seguro que cumple los requisitos del Criterio común.	En ejecución	Manual (desencadenar inicio)	Sistema local
Apache Tomcat Tomcat	Apache Tomcat Server - http://tomcat.apache.org/	En ejecución	Automático	Servicio local
Apache2.4	Apache/2.4.56 (Win64) OpenSSL/1.1.1t PHP/8.2.4	En ejecución	Automático	Sistema local
